iter	Passed	Remaining
0	12	2568
1	57	5698
2	95	6254
3	139	6850
4	185	7253
5	242	7842
6	296	8162
7	312	7502
8	356	7558
9	394	7488
10	437	7516
11	488	7646
12	535	7703
13	577	7679
14	618	7622
15	661	7602
16	711	7656
17	751	7602
18	790	7527
19	826	7436
20	860	7333
21	904	7321
22	942	7256
23	983	7211
24	1037	7265
25	1077	7214
26	1118	7168
27	1164	7154
28	1206	7113
29	1244	7052
30	1278	6971
31	1314	6899
32	1345	6808
33	1377	6724
34	1405	6627
35	1436	6542
36	1466	6460
37	1497	6384
38	1528	6311
39	1561	6247
40	1592	6174
41	1598	6011
42	1628	5944
43	1662	5892
44	1695	5839
45	1727	5782
46	1756	5717
47	1768	5599
48	1798	5542
49	1826	5478
50	1855	5421
51	1885	5367
52	1915	5312
53	1943	5255
54	1971	5198
55	2001	5147
56	2028	5087
57	2056	5034
58	2086	4986
59	2117	4940
60	2152	4905
61	2193	4883
62	2236	4862
63	2274	4833
64	2313	4805
65	2344	4760
66	2356	4677
67	2384	4628
68	2412	4579
69	2439	4529
70	2468	4485
71	2497	4440
72	2526	4396
73	2556	4352
74	2589	4315
75	2620	4275
76	2652	4236
77	2679	4190
78	2706	4144
79	2735	4103
80	2742	4028
81	2773	3990
82	2804	3952
83	2834	3913
84	2863	3874
85	2892	3834
86	2939	3817
87	2997	3814
88	3051	3806
89	3110	3801
90	3169	3795
91	3207	3764
92	3238	3725
93	3270	3688
94	3299	3646
95	3326	3604
96	3357	3564
97	3389	3527
98	3422	3491
99	3454	3454
100	3490	3421
101	3533	3394
102	3574	3366
103	3613	3335
104	3655	3307
105	3701	3282
106	3747	3257
107	3787	3226
108	3825	3193
109	3867	3164
110	3907	3133
111	3941	3096
112	3976	3061
113	4012	3026
114	4047	2991
115	4080	2954
116	4110	2916
117	4142	2878
118	4175	2842
119	4207	2805
120	4244	2771
121	4289	2742
122	4339	2716
123	4377	2683
124	4409	2645
125	4441	2608
126	4476	2573
127	4513	2538
128	4557	2508
129	4597	2475
130	4643	2445
131	4688	2415
132	4749	2392
133	4793	2360
134	4832	2326
135	4861	2287
136	4894	2250
137	4924	2212
138	4953	2174
139	4985	2136
140	5011	2097
141	5041	2059
142	5070	2021
143	5100	1983
144	5129	1945
145	5159	1908
146	5189	1871
147	5219	1833
148	5248	1796
149	5277	1759
150	5307	1722
151	5334	1684
152	5363	1647
153	5393	1610
154	5423	1574
155	5462	1540
156	5503	1507
157	5540	1472
158	5580	1438
159	5620	1405
160	5659	1370
161	5716	1340
162	5758	1307
163	5792	1271
164	5829	1236
165	5871	1202
166	5913	1168
167	5965	1136
168	6008	1102
169	6048	1067
170	6086	1032
171	6121	996
172	6170	963
173	6211	928
174	6249	892
175	6286	857
176	6328	822
177	6365	786
178	6393	750
179	6419	713
180	6451	677
181	6487	641
182	6535	607
183	6583	572
184	6623	537
185	6662	501
186	6709	466
187	6749	430
188	6787	395
189	6824	359
190	6863	323
191	6894	287
192	6924	251
193	6962	215
194	7008	179
195	7051	143
196	7090	107
197	7130	72
198	7163	35
199	7194	0
